Color Name,HEX Code,Description,Emotion,Personality,Mood,Symbolism,Use Case,Keywords,combined_text
Deep Purple #61037A,#61037A,"A rich, royal shade of purple.","Majestic, Regal","Mysterious, Intense","Elegant, Dramatic","Luxury, Spirituality, Wisdom","Ideal for sophisticated designs, logos, and brands that want to evoke a sense of mystery or exclusivity.","Royal, Deep, Majestic, Rich, Purple, Elegant, Dramatic, Luxurious, Mysterious, Intense.","A rich, royal shade of purple. Majestic, Regal Mysterious, Intense Elegant, Dramatic Luxury, Spirituality, Wisdom Ideal for sophisticated designs, logos, and brands that want to evoke a sense of mystery or exclusivity. Royal, Deep, Majestic, Rich, Purple, Elegant, Dramatic, Luxurious, Mysterious, Intense."
Purple-Pink (Lavender-Plum),#BD4EB5,A harmonious blend of purple and pink.,"Calmness, Serenity, Dreaminess","Graceful, Introspective, Elegant","Soothing, Peaceful, Mysterious","Spiritual growth, creativity, intuition, magic, royalty","Ideal for creating tranquil and imaginative environments such as children's rooms, spas, or spiritual spaces.","Pastel, Lavender, Plum, Tranquility, Calmness, Elegance, Spirituality, Intuition, Creativity, Magic, Royalty.","A harmonious blend of purple and pink. Calmness, Serenity, Dreaminess Graceful, Introspective, Elegant Soothing, Peaceful, Mysterious Spiritual growth, creativity, intuition, magic, royalty Ideal for creating tranquil and imaginative environments such as children's rooms, spas, or spiritual spaces. Pastel, Lavender, Plum, Tranquility, Calmness, Elegance, Spirituality, Intuition, Creativity, Magic, Royalty."
Pumpkin Spice,#E17325,"A rich, deep orange with a hint of red.","Warmth, Coziness","Vibrant, Bold","Autumnal, Spicy","Harvest, Abundance, Warmth","Ideal for autumn and Thanksgiving decorations, fall-themed clothing, or branding related to these seasons.","Orange, Reddish, Harvest, Autumn, Fall, Cozy, Bold, Vibrant, Spicy, Warm.","A rich, deep orange with a hint of red. Warmth, Coziness Vibrant, Bold Autumnal, Spicy Harvest, Abundance, Warmth Ideal for autumn and Thanksgiving decorations, fall-themed clothing, or branding related to these seasons. Orange, Reddish, Harvest, Autumn, Fall, Cozy, Bold, Vibrant, Spicy, Warm."
Emerald Green,#5A9A54,"A lively shade of green, reminiscent of emeralds.","Freshness, vitality, tranquility","Vibrant and refreshing, like a cool breeze on a hot day.","Invigorating, revitalizing","Growth, abundance, harmony",Ideal for creating a relaxing environment or for promoting growth and prosperity.,"Fresh, vibrant, lively, tranquil, growth, prosperity, harmony, invigorating, nature, emeralds, cool.","A lively shade of green, reminiscent of emeralds. Freshness, vitality, tranquility Vibrant and refreshing, like a cool breeze on a hot day. Invigorating, revitalizing Growth, abundance, harmony Ideal for creating a relaxing environment or for promoting growth and prosperity. Fresh, vibrant, lively, tranquil, growth, prosperity, harmony, invigorating, nature, emeralds, cool."
Indigo,#391895,"A deep, dark shade of blue with a hint of purple.","Mysterious, enigmatic","Reserved, mysterious, thoughtful","Dreamy, introspective","Intuition, spirituality, wisdom","Ideal for dramatic and sophisticated designs, such as logos or packaging for luxury brands.","Deep, rich, enigmatic, dreamy, intuitive, luxurious.","A deep, dark shade of blue with a hint of purple. Mysterious, enigmatic Reserved, mysterious, thoughtful Dreamy, introspective Intuition, spirituality, wisdom Ideal for dramatic and sophisticated designs, such as logos or packaging for luxury brands. Deep, rich, enigmatic, dreamy, intuitive, luxurious."
Burnt Sienna,#CA6A49,"A deep, rich shade of red-brown.","Warmth, Comfort, Coziness","Reliable, Grounded, Authentic","Earthy, Rustic, Inviting","Strength, Endurance, Stability","Ideal for creating a warm, inviting atmosphere in interiors or for autumn/winter fashion.","Brown, Red, Autumn, Warm, Rich, Earthy","A deep, rich shade of red-brown. Warmth, Comfort, Coziness Reliable, Grounded, Authentic Earthy, Rustic, Inviting Strength, Endurance, Stability Ideal for creating a warm, inviting atmosphere in interiors or for autumn/winter fashion. Brown, Red, Autumn, Warm, Rich, Earthy"
Green Sapphire,#288E66,"A vibrant shade of teal, evoking thoughts of tropical landscapes and fresh waters.","Calm, Tranquil","Reliable, Trustworthy, Dependable","Refreshing, Invigorating","Growth, Harmony, Renewal, Stability",Perfect for creating a calming and inviting atmosphere in spaces such as living rooms or offices.,"Teal, Ocean, Fresh, Vibrant, Relaxing, Nature","A vibrant shade of teal, evoking thoughts of tropical landscapes and fresh waters. Calm, Tranquil Reliable, Trustworthy, Dependable Refreshing, Invigorating Growth, Harmony, Renewal, Stability Perfect for creating a calming and inviting atmosphere in spaces such as living rooms or offices. Teal, Ocean, Fresh, Vibrant, Relaxing, Nature"
Purple C445DD (Hexadecimal),#C445DD,"A deep, rich shade of purple.","Dramatic, Exciting, Passionate","Mysterious, Creative, Bold","Elegant, Powerful, Enigmatic","Spirituality, Creativity, Wisdom, Mystery, Royalty","Ideal for dramatic design elements, such as logos, headlines, or accents in a design scheme.","Vibrant, Deep, Rich, Bold, Elegant, Creative, Spiritual, Mysterious, Royal, Dramatic, Exciting","A deep, rich shade of purple. Dramatic, Exciting, Passionate Mysterious, Creative, Bold Elegant, Powerful, Enigmatic Spirituality, Creativity, Wisdom, Mystery, Royalty Ideal for dramatic design elements, such as logos, headlines, or accents in a design scheme. Vibrant, Deep, Rich, Bold, Elegant, Creative, Spiritual, Mysterious, Royal, Dramatic, Exciting"
Indigo Violet,#9C5DD6,A captivating blend of deep blue and red.,"Mysterious, Enigmatic","Introspective, Creative, Intellectual","Dreamy, Thoughtful, Elegant","In many cultures, it represents wisdom, spirituality, intuition, and the mystical.","Ideal for branding that aims to convey a sense of mystery, sophistication, or spirituality.","Mysterious, Intuitive, Spiritual, Elegant, Deep Purple, Violet, Blue-Purple, Indigo.","A captivating blend of deep blue and red. Mysterious, Enigmatic Introspective, Creative, Intellectual Dreamy, Thoughtful, Elegant In many cultures, it represents wisdom, spirituality, intuition, and the mystical. Ideal for branding that aims to convey a sense of mystery, sophistication, or spirituality. Mysterious, Intuitive, Spiritual, Elegant, Deep Purple, Violet, Blue-Purple, Indigo."
Medium Purple Lilac,#A29EB6,"A soft, elegant shade of purple-lilac.","Graceful, Romantic","Reserved yet captivating, much like a mysterious, enchanting character.","Dreamy, Whimsical","In many cultures, lilac represents first love and the beginning of spring, symbolizing new beginnings and rebirth.","Ideal for creating a romantic, dreamy atmosphere in design or as a subtle, elegant accent color.","Pastel, Purple, Lilac, Romantic, Dreamy, Graceful","A soft, elegant shade of purple-lilac. Graceful, Romantic Reserved yet captivating, much like a mysterious, enchanting character. Dreamy, Whimsical In many cultures, lilac represents first love and the beginning of spring, symbolizing new beginnings and rebirth. Ideal for creating a romantic, dreamy atmosphere in design or as a subtle, elegant accent color. Pastel, Purple, Lilac, Romantic, Dreamy, Graceful"
Maroon,#B90010,Dark red with a hint of brown.,"Passionate, intense","Strong-willed, determined","Powerful, bold","Strength, courage, constancy, self-confidence, and maturity. It can also symbolize stability and groundedness.","Ideal for logos, branding, and design elements that convey power, strength, or reliability.","strong, powerful, deep, rich, bold, intense, dark red, brownish red.","Dark red with a hint of brown. Passionate, intense Strong-willed, determined Powerful, bold Strength, courage, constancy, self-confidence, and maturity. It can also symbolize stability and groundedness. Ideal for logos, branding, and design elements that convey power, strength, or reliability. strong, powerful, deep, rich, bold, intense, dark red, brownish red."
Burnt Sienna,#B3964D,"A warm, earthy brown with hints of orange.","Warmth, Coziness","Reliable, Grounded, Comforting","Rustic, Homely","Stability, Harvest, Earth","Ideal for creating a warm and inviting atmosphere, such as in home decor, food packaging, or autumn-themed designs.","Warm, Earthy, Autumn, Harvest, Rustic, Cozy, Brown, Orange","A warm, earthy brown with hints of orange. Warmth, Coziness Reliable, Grounded, Comforting Rustic, Homely Stability, Harvest, Earth Ideal for creating a warm and inviting atmosphere, such as in home decor, food packaging, or autumn-themed designs. Warm, Earthy, Autumn, Harvest, Rustic, Cozy, Brown, Orange"
Sage Green,#80AC90,"A lively, medium-bright green.","Calmness, refreshing","Wise, natural, harmonious","Serene, invigorating","Growth, harmony, tranquility","Ideal for nature-themed designs, tech products, and sustainable brands.","Natural, peaceful, fresh, growth, technology, tranquil, harmonious, pastel.","A lively, medium-bright green. Calmness, refreshing Wise, natural, harmonious Serene, invigorating Growth, harmony, tranquility Ideal for nature-themed designs, tech products, and sustainable brands. Natural, peaceful, fresh, growth, technology, tranquil, harmonious, pastel."
